Date,Open,High,Low,Close,Volume,Adj Close
18/12/2015,6102.5,6105.600098,6051.700195,6052.399902,1234966800,6052.399902
17/12/2015,6061.200195,6160.799805,6061.200195,6102.5,725125100,6102.5
16/12/2015,6017.799805,6089.299805,6016.299805,6061.200195,750664600,6061.200195
15/12/2015,5874.100098,6036.700195,5874.100098,6017.799805,811231700,6017.799805
14/12/2015,5952.799805,6009.899902,5871.899902,5874.100098,781019600,5874.100098
11/12/2015,6088.100098,6088.100098,5949.799805,5952.799805,805984900,5952.799805
10/12/2015,6126.700195,6127.100098,6080,6088.100098,838093600,6088.100098
09/12/2015,6135.200195,6175.799805,6101.200195,6126.700195,751852900,6126.700195
08/12/2015,6223.5,6224.899902,6120.700195,6135.200195,790574400,6135.200195
07/12/2015,6238.299805,6287.200195,6215.200195,6223.5,542255600,6223.5
04/12/2015,6275,6277.600098,6219.5,6238.299805,662790200,6238.299805
03/12/2015,6420.899902,6444.700195,6275,6275,793356800,6275
02/12/2015,6395.700195,6447.299805,6395.200195,6420.899902,566098900,6420.899902
01/12/2015,6356.100098,6402.399902,6356.100098,6395.700195,784743400,6395.700195
30/11/2015,6375.200195,6387.100098,6329.899902,6356.100098,834458200,6356.100098
27/11/2015,6393.100098,6393.100098,6345.299805,6375.200195,471764000,6375.200195
26/11/2015,6337.600098,6395.299805,6333.899902,6393.100098,0,6393.100098
25/11/2015,6277.200195,6348.100098,6277.200195,6337.600098,673258600,6337.600098
24/11/2015,6305.5,6305.5,6221.299805,6277.200195,854059000,6277.200195
23/11/2015,6334.600098,6334.600098,6267.100098,6305.5,585321500,6305.5
20/11/2015,6329.899902,6360.700195,6311.799805,6334.600098,808632500,6334.600098
19/11/2015,6279,6366.899902,6279,6329.899902,0,6329.899902
18/11/2015,6268.799805,6283.899902,6228.200195,6279,615094500,6279
17/11/2015,6146.399902,6269.399902,6146.399902,6268.799805,697486200,6268.799805
16/11/2015,6118.299805,6161.899902,6079.799805,6146.399902,602945000,6146.399902
13/11/2015,6178.700195,6179,6088.799805,6118.299805,681574100,6118.299805
12/11/2015,6297.200195,6300.899902,6178.700195,6178.700195,826908500,6178.700195
11/11/2015,6275.299805,6327.200195,6272.700195,6297.200195,618113900,6297.200195
10/11/2015,6295.200195,6329.700195,6250.299805,6275.299805,725649900,6275.299805
09/11/2015,6353.799805,6380.399902,6292.100098,6295.200195,658685600,6295.200195
06/11/2015,6364.899902,6395.200195,6332.700195,6353.799805,711572600,6353.799805
05/11/2015,6412.899902,6421.799805,6358.100098,6364.899902,0,6364.899902
04/11/2015,6383.600098,6459.5,6383,6412.899902,759872100,6412.899902
03/11/2015,6361.799805,6383.600098,6344.700195,6383.600098,608961200,6383.600098
02/11/2015,6361.100098,6364.399902,6317.299805,6361.799805,506603500,6361.799805
30/10/2015,6395.799805,6410.299805,6337.700195,6361.100098,716340400,6361.100098
29/10/2015,6437.799805,6437.899902,6358.200195,6395.799805,826622300,6395.799805
28/10/2015,6365.299805,6448.5,6355.799805,6437.799805,0,6437.799805
27/10/2015,6417,6419.600098,6365.299805,6365.299805,0,6365.299805
26/10/2015,6444.100098,6453,6405.399902,6417,441044400,6417
23/10/2015,6376.299805,6487.899902,6376.299805,6444.100098,0,6444.100098
22/10/2015,6348.399902,6387.299805,6321.700195,6376.299805,718398200,6376.299805
21/10/2015,6345.100098,6387.299805,6316.299805,6348.399902,596747600,6348.399902
20/10/2015,6352.299805,6367.799805,6319.299805,6345.100098,574547000,6345.100098
19/10/2015,6378,6408.100098,6336.299805,6352.299805,0,6352.299805
16/10/2015,6338.700195,6398.200195,6338.700195,6378,592309300,6378
15/10/2015,6269.600098,6351.399902,6269.600098,6338.700195,0,6338.700195
14/10/2015,6342.299805,6342.299805,6268.299805,6269.600098,0,6269.600098
13/10/2015,6371.200195,6371.200195,6303,6342.299805,700891400,6342.299805
12/10/2015,6416.200195,6416.200195,6351.299805,6371.200195,535951300,6371.200195
09/10/2015,6374.799805,6453.200195,6374.799805,6416.200195,745150000,6416.200195
08/10/2015,6336.399902,6380.299805,6303.5,6374.799805,720040900,6374.799805
07/10/2015,6326.200195,6396.299805,6319.799805,6336.399902,985472100,6336.399902
06/10/2015,6298.899902,6343.700195,6255.100098,6326.200195,0,6326.200195
05/10/2015,6130,6301.100098,6130,6298.899902,863396300,6298.899902
02/10/2015,6072.5,6176.200195,6051.600098,6130,861807200,6130
01/10/2015,6061.600098,6172.799805,6053.299805,6072.5,847372200,6072.5
30/09/2015,5909.200195,6061.600098,5909.200195,6061.600098,1018944000,6061.600098
29/09/2015,5958.899902,5958.899902,5877.100098,5909.200195,1000021900,5909.200195
28/09/2015,6109,6110.299805,5958.899902,5958.899902,968395200,5958.899902
25/09/2015,5961.5,6120.700195,5961.5,6109,837519200,6109
24/09/2015,6032.200195,6055.600098,5947.200195,5961.5,867489200,5961.5
23/09/2015,5935.799805,6067.600098,5933.200195,6032.200195,725707700,6032.200195
22/09/2015,6108.700195,6111.600098,5935.799805,5935.799805,941657100,5935.799805
21/09/2015,6104.100098,6168.700195,6083.600098,6108.700195,697537600,6108.700195
18/09/2015,6187,6188.700195,6053.899902,6104.100098,1508172800,6104.100098
17/09/2015,6229.200195,6239.899902,6182.600098,6187,836839300,6187
16/09/2015,6137.600098,6244.899902,6137.600098,6229.200195,818994800,6229.200195
15/09/2015,6084.600098,6158.100098,6019.899902,6137.600098,706522000,6137.600098
14/09/2015,6117.799805,6191.799805,6065.399902,6084.600098,598665000,6084.600098
11/09/2015,6155.799805,6174.299805,6113.100098,6117.799805,0,6117.799805
10/09/2015,6229,6229,6127.5,6155.799805,749536800,6155.799805
09/09/2015,6146.100098,6284.200195,6146.100098,6229,734267900,6229
08/09/2015,6074.5,6196.5,6074.5,6146.100098,664577700,6146.100098
07/09/2015,6042.899902,6125.700195,6042.899902,6074.5,464760500,6074.5
04/09/2015,6194.100098,6194.100098,6040.5,6042.899902,743172100,6042.899902
03/09/2015,6083.299805,6215.700195,6083.299805,6194.100098,735720100,6194.100098
